info_rest_id;info_rest_rating;info_rest_cuisine;info_rest_work_hours;rest_itn;rest_legal_address;rest_bank_account;mean_delivery_time
1;7;italian;9:00-22:00;123-45-6789;Maple Avenue 42;9876543210;56
2;3;russian;8:30-23:00;987-65-4321;Pine Street 15;1234567890;23
3;8;japanese;10:00-21:30;543-21-8765;Cedar Lane 7;4567890123;37
4;5;mexican;11:30-20:00;876-54-3210;Oak Street 33;8901234567;49
5;10;indian;7:00-18:00;234-56-7890;Elm Road 56;2345678901;18
6;4;french;12:00-22:30;890-12-3456;Birch Lane 21;5678901234;51
7;6;chinese;9:30-20:30;456-78-9012;Willow Drive 10;8901234567;8
8;9;thai;8:00-23:30;012-34-5678;Sycamore Street 48;1234567890;42
9;3;spanish;10:30-19:30;789-01-2345;Magnolia Avenue 3;4567890123;33
10;8;greek;11:00-21:00;345-67-8901;Spruce Lane 29;7890123456;15
11;5;american;7:30-18:30;678-90-1234;Hickory Road 14;5432109876;29
12;7;moroccan;12:30-22:00;210-98-7654;Aspen Drive 71;6789012345;53
13;10;turkish;9:45-22:15;567-89-0123;Cypress Lane 26;8901234567;12
14;4;korean;8:15-23:15;321-09-8765;Juniper Street 5;2345678901;47
15;9;vietnamese;10:15-21:45;876-54-3210;Redwood Road 19;4567890123;19
16;3;lebanese;11:45-20:15;234-56-7890;Poplar Lane 37;7890123456;26
17;6;brazilian;7:15-18:15;890-12-3456;Sassafras Drive 12;1234567890;39
18;8;peruvian;12:15-22:45;456-78-9012;Fir Street 64;3456789012;55
19;5;jamaican;9:15-20:45;012-34-5678;Chestnut Avenue 8;5678901234;9
20;7;swedish;8:45-23:45;789-01-2345;Mulberry Lane 22;7890123456;14
21;10;ethiopian;10:45-19:45;345-67-8901;Dogwood Road 45;1234567890;32
22;4;malaysian;11:15-21:15;678-90-1234;Beech Drive 17;2345678901;22
23;9;portuguese;7:45-18:45;210-98-7654;Cottonwood Street 53;4567890123;50
24;3;german;12:45-22:15;567-89-0123;Maple Avenue 38;6789012345;5
25;6;african;9:30-20:30;321-09-8765;Pine Street 11;7890123456;44
26;8;indonesian;8:00-23:30;876-54-3210;Cedar Lane 2;8901234567;31
27;5;sri-lankan;10:30-19:30;234-56-7890;Oak Street 27;9876543210;10
28;7;cuban;11:00-21:00;890-12-3456;Elm Road 49;5432109876;25
29;10;israeli;7:30-18:30;456-78-9012;Birch Lane 16;6789012345;59
30;4;mongolian;12:30-22:00;012-34-5678;Willow Drive 31;8901234567;7
31;9;irish;9:45-22:15;789-01-2345;Sycamore Street 9;1234567890;36
32;3;filipino;8:15-23:15;345-67-8901;Magnolia Avenue 23;2345678901;48
33;6;swiss;10:15-21:45;678-90-1234;Spruce Lane 44;4567890123;17
34;8;caribbean;11:45-20:15;210-98-7654;Hickory Road 6;6789012345;41
35;5;bangladeshi;7:15-18:15;567-89-0123;Aspen Drive 58;7890123456;13
36;7;australian;12:15-22:45;321-09-8765;Cypress Lane 13;3456789012;54
37;10;czech;9:15-20:45;876-54-3210;Juniper Street 35;5678901234;3
38;4;egyptian;8:45-23:45;234-56-7890;Redwood Road 20;8901234567;20
39;9;scottish;10:45-19:45;890-12-3456;Poplar Lane 47;2345678901;38
40;3;hawaiian;11:15-21:15;456-78-9012;Sassafras Drive 18;4567890123;46
41;6;kazakh;7:45-18:45;012-34-5678;Fir Street 40;7890123456;11
42;8;nepalese;12:45-22:15;789-01-2345;Chestnut Avenue 25;1234567890;30
43;5;polish;9:30-20:30;345-67-8901;Mulberry Lane 14;5432109876;58
44;7;belgian;8:00-23:30;678-90-1234;Dogwood Road 51;6789012345;6
45;10;argentinian;10:30-19:30;210-98-7654;Beech Drive 26;8901234567;24
46;4;tibetan;11:00-21:00;567-89-0123;Cottonwood Street 7;1234567890;40
47;9;ukrainian;7:30-18:30;321-09-8765;Maple Avenue 61;3456789012;57
48;3;icelandic;12:30-22:00;876-54-3210;Pine Street 34;5678901234;16
49;6;honduran;9:45-22:15;234-56-7890;Cedar Lane 15;7890123456;52
50;8;tunisian;8:15-23:15;890-12-3456;Oak Street 28;2345678901;2
